address,nftCount,voucherNftCount,membershipNftCount,tokenIds,membershipTokenIds,memberLevelIndex,memberLevelName,memberRewardBasisPoints,baseVoucherDOUDO,bonusDOUDO,totalRedeemableDOUDO,estimatedBaseTWD,estimatedTotalTWD
0x0689c99e195690b8d53695ae498f61f39f0cef5c,1,0,1,358,358,1,Common,0,0,0,0,0,0
0x0edf05a2d27ba54dee62aed61f84ace138351911,1,0,1,382,382,4,Platinum,300,0,0,0,0,0
0x226f0197d502e7ac87d1a76d6526945dfa9e4209,1,0,1,45,45,1,Common,0,0,0,0,0,0
0x267f617ccaf1675d97a3434bdf4d4830788f2f76,1,0,1,85,85,2,Silver,100,0,0,0,0,0
0x29750f2f2d83715fe61b27790ca458409f9a1eb2,1,0,1,299,299,2,Silver,100,0,0,0,0,0
0x2989328a286b0797cf561afdfa2b6f9814f8dbc3,1,1,0,148,,0,NonMembership,0,250,0,250,150,150
0x2ef81c386f98c350b1e17d5dd6ed7db17cee3169,1,0,1,275,275,1,Common,0,0,0,0,0,0
0x30a8222c315eea9c88e73990f06162954e93e5d4,1,0,1,52,52,1,Common,0,0,0,0,0,0
0x32371ffdfdf4f863c44190f69dd7691d5a488b5c,1,0,1,348,348,1,Common,0,0,0,0,0,0
0x32f069f9d853b90cef5aae6439ad527c201bde0b,1,0,1,59,59,1,Common,0,0,0,0,0,0
0x36545c0b24f2e478989320931158ba63caa51344,1,0,1,109,109,1,Common,0,0,0,0,0,0
0x3c69ccb986b5ca5b235a38a0a17c8d434805ba33,1,1,0,47,,0,NonMembership,0,2000,0,2000,1200,1200
0x3f44b51d065834854efa8971dedf0b02e962ed85,1,0,1,58,58,1,Common,0,0,0,0,0,0
0x4228c00cccda6f5c2c69389b9851e9f767407e03,1,0,1,78,78,1,Common,0,0,0,0,0,0
0x467cee70e2b15a6868e318f02d713901a5b59408,1,0,1,186,186,1,Common,0,0,0,0,0,0
0x5027a19ea2146a8f2d3558698727c90230a3440d,1,0,1,385,385,1,Common,0,0,0,0,0,0
0x5583826f2c8b2bca4bb6ff6563df3f56a4204980,1,0,1,164,164,1,Common,0,0,0,0,0,0
0x55a8389a252cfd48b53743a0649f4e8f4f174af3,1,1,0,110,,0,NonMembership,0,1000,0,1000,600,600
0x589f0e19104800148e6b1596026a0026166be90f,1,0,1,54,54,1,Common,0,0,0,0,0,0
0x6177849c1c1d5545fa855edd80148d0ba85dc3cf,1,0,1,10,10,1,Common,0,0,0,0,0,0
0x65d513c2eab287f9a7c41424913815373767b24e,1,0,1,364,364,1,Common,0,0,0,0,0,0
0x65f1467fda9dd7adea137378f6f7f4202eed22c1,1,0,1,445,445,1,Common,0,0,0,0,0,0
0x6f5d0ebb8dfd879a04e2df932b4bc0c46e401f12,1,0,1,339,339,1,Common,0,0,0,0,0,0
0x705b8d813e947c8685f0c9d0fca3ff2066062503,1,0,1,107,107,2,Silver,100,0,0,0,0,0
0x71c91e562242c28cfa6f40c1d3a0ea6e7476be23,1,0,1,56,56,1,Common,0,0,0,0,0,0
0x7e734420a277a46fb95e07d2bcaa7d16faa40b13,1,0,1,318,318,1,Common,0,0,0,0,0,0
0x80127228cce720a1a601f24ed0a3b1db2dd7aa27,1,1,0,46,,0,NonMembership,0,5000,0,5000,3000,3000
0x91eb5fce5325c336c5c763d91dc323c6c960a6b4,1,0,1,266,266,3,Gold,150,0,0,0,0,0
0x9a0327cc0bcac15fcc3cb003a3fbdd74bc68a4b3,1,0,1,287,287,1,Common,0,0,0,0,0,0
0x9c414a9d0331db1dcae760f2fc916ef7b319bd42,1,0,1,103,103,1,Common,0,0,0,0,0,0
0xa1e965318567f54d865100f9972f9bd740ddbe54,1,0,1,369,369,1,Common,0,0,0,0,0,0
0xa2dce565ac02d7ab866ab8abd9473b68e015cca1,1,0,1,72,72,1,Common,0,0,0,0,0,0
0xaf48208b55e4f21aea32aa2e3ffa09284270e0f2,2,1,1,3|5,5,1,Common,0,50,0,50,30,30
0xb1a3bf3f6c7ccb2f81c577d1b3ad73d552e0688b,1,0,1,70,70,1,Common,0,0,0,0,0,0
0xb455244aa0135c0cd7e25ca20d699a137ed32f1c,1,0,1,62,62,1,Common,0,0,0,0,0,0
0xb73ee1fdab06daf7f6fdbc482ce0e21cf5000878,1,0,1,65,65,1,Common,0,0,0,0,0,0
0xc66bc4206f6463171fdf5aae758d9a3be499494d,1,0,1,43,43,1,Common,0,0,0,0,0,0
0xc843559442fdc3720f29f03d408783e8215c6446,1,0,1,99,99,1,Common,0,0,0,0,0,0
0xca4dc42029732d629dc867458eb53601fd9763c0,1,0,1,403,403,1,Common,0,0,0,0,0,0
0xcff6cf868bb860c9cdeac97e1099ff930bbbd441,1,0,1,41,41,1,Common,0,0,0,0,0,0
0xd2be137fedfb4029604e8c0a7b2384c502f835f7,1,0,1,113,113,1,Common,0,0,0,0,0,0
0xd4bb3ad7156b9e6fac8509bf8cd60c625911ad69,1,1,0,421,,0,NonMembership,0,5000,0,5000,3000,3000
0xd5ab5a857a3c7c73f6beeeeb0779de11f172cd44,1,0,1,150,150,1,Common,0,0,0,0,0,0
0xd86e3b343db48553aa2cf657cf868f351f6c317e,1,0,1,75,75,1,Common,0,0,0,0,0,0
0xd89b57cac94faa54facfe29ddf8c2bb758714b6d,1,0,1,20,20,1,Common,0,0,0,0,0,0
0xdf6574cd56818f6433e550e49eb5fb2d7b90ff33,1,0,1,478,478,3,Gold,150,0,0,0,0,0
0xe0abf167fbe3dd05f5bee19b2803f8d9b28da2d3,1,0,1,68,68,1,Common,0,0,0,0,0,0
0xe0bde167ce0e4ab7bd148676ae0908d481bfdc25,1,0,1,347,347,1,Common,0,0,0,0,0,0
0xe7a81e93c88852cab09f140c1d7f3cd37f90dd8b,1,0,1,415,415,2,Silver,100,0,0,0,0,0
0xed26df71d0278d429d7ec5536b6f9d9e2717d94d,1,0,1,443,443,1,Common,0,0,0,0,0,0
0xf315a3e3a9717d590454a3f190bb4be7302991a0,1,0,1,351,351,1,Common,0,0,0,0,0,0
0xf583d136423278c746c30dcdb569c44a3b0341a2,1,0,1,90,90,2,Silver,100,0,0,0,0,0
0xff48b12e3a3b5fe2b770cf15729696faecf96684,1,0,1,226,226,1,Common,0,0,0,0,0,0
